frame,addr,value,pc,trace_last,trace_seq,ram_music,ram_music_busy,screen_ready,ram_script,ram_subscript,ppu_load_index,se_ptr_lo,se_ptr_hi,d0,d1,d2,d3,a0,a1,a2,a7,sr
87,FF0600,00,00871C,0470,0129,00,00,00,00,00,00,8B,94,00000480,00000025,00000000,00FF0034,000086FC,00008118,00000000,00FFFDA6,2608
100,FF0609,00,00519A,048B,01B7,80,00,01,00,00,00,8B,94,00000480,00000025,00000000,00FF0000,00FF0000,0001873F,00000000,00FFFDA2,2608
100,FF0600,80,004950,0406,01C1,80,80,01,00,00,00,DC,94,00000400,00000491,00000401,00FF0000,000055DA,0000578A,00000000,00FFFDA6,2604
100,FF0609,80,008DE2,0318,01C7,00,80,01,00,00,00,DC,94,00000080,00000491,0000040A,00FF0000,000087DC,00FF01FF,00000000,00FFFD9E,2608
100,FF0600,00,008DE2,0318,01C7,00,80,01,00,00,00,DC,94,00000018,00000491,00000401,00FF0000,000087DC,00FF01FF,00000000,00FFFD9E,2600
105,FF0609,80,00519A,048B,01D4,18,80,01,00,00,00,DC,94,00000418,0000000E,00000000,00FF000F,00005B09,00000302,00000000,00FFFDA2,2600
105,FF0600,18,004950,0406,01DC,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDA6,2604
105,FF0609,18,008DE2,0318,01E2,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFD9E,2608
105,FF0600,00,008DE2,0318,01E2,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFD9E,2600
106,FF0609,80,00519A,048B,01EF,18,80,01,00,00,00,5D,8E,00000418,0000000E,0000007F,00FF000F,00005B09,00000302,00000000,00FFFDA2,2600
106,FF0600,18,004950,0406,01F7,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDA6,2604
106,FF0609,18,008DE2,0318,01FD,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFD9E,2608
106,FF0600,00,008DE2,0318,01FD,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFD9E,2600
106,FF0609,80,00519A,048B,020A,18,80,01,00,00,00,5D,8E,00000418,0000000E,0000007F,00FF000F,00005B09,00000302,00000000,00FFFDA2,2600
106,FF0600,18,004950,0406,0212,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDA6,2604
106,FF0609,18,008DE2,0318,0218,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFD9E,2608
106,FF0600,00,008DE2,0318,0218,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFD9E,2600
107,FF0609,80,00519A,048B,0225,18,80,01,00,00,00,5D,8E,00000418,0000000E,0000007E,00FF000F,00005B09,00000302,00000000,00FFFDA2,2600
107,FF0600,18,004950,0406,022D,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDA6,2604
107,FF0609,18,008DE2,0318,0233,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFD9E,2608
107,FF0600,00,008DE2,0318,0233,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFD9E,2600
108,FF0609,80,00519A,048B,0240,18,80,01,00,00,00,5D,8E,00000418,0000000E,0000007E,00FF000F,00005B09,00000302,00000000,00FFFDA2,2600
108,FF0600,18,004950,0406,0248,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDA6,2604
108,FF0609,18,008DE2,0318,024E,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFD9E,2608
108,FF0600,00,008DE2,0318,024E,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFD9E,2600
109,FF0609,80,00519A,048B,025D,18,80,01,00,00,00,5D,8E,00000418,0000000E,0000007D,00FF000F,00005B09,00000302,00000000,00FFFDA2,2600
109,FF0600,18,004950,0406,0265,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDA6,2604
109,FF0609,18,008DE2,0318,026B,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFD9E,2608
109,FF0600,00,008DE2,0318,026B,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFD9E,2600
110,FF0609,80,00519A,048B,027A,18,80,01,00,00,00,5D,8E,00000418,0000000E,0000007D,00FF000F,00005B09,00000302,00000000,00FFFD7E,2600
110,FF0600,18,004950,0406,0282,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFD82,2604
110,FF0609,18,008DE2,0318,0288,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFD7A,2608
110,FF0600,00,008DE2,0318,0288,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFD7A,2600
111,FF0609,80,00519A,048B,0295,18,80,01,00,00,00,5D,8E,00000418,0000000E,0000007C,00FF000F,00005B09,00000302,00000000,00FFFDAA,2600
111,FF0600,18,004950,0406,029D,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDAE,2604
111,FF0609,18,008DE2,0318,02A3,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDA6,2608
111,FF0600,00,008DE2,0318,02A3,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDA6,2600
112,FF0609,80,00519A,048B,02B0,18,80,01,00,00,00,5D,8E,00000418,0000000E,0000007C,00FF000F,00005B09,00000302,00000000,00FFFDAA,2600
112,FF0600,18,004950,0406,02B8,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDAE,2604
112,FF0609,18,008DE2,0318,02BE,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDA6,2608
112,FF0600,00,008DE2,0318,02BE,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDA6,2600
113,FF0609,80,00519A,048B,02CB,18,80,01,00,00,00,5D,8E,00000418,0000000E,0000007B,00FF000F,00005B09,00000302,00000000,00FFFDAE,2600
113,FF0600,18,004950,0406,02D3,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB2,2604
113,FF0609,18,008DE2,0318,02D9,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAA,2608
113,FF0600,00,008DE2,0318,02D9,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAA,2600
114,FF0609,80,00519A,048B,02E6,18,80,01,00,00,00,5D,8E,00000418,0000000E,0000007B,00FF000F,00005B09,00000302,00000000,00FFFDAE,2600
114,FF0600,18,004950,0406,02EE,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB2,2604
114,FF0609,18,008DE2,0318,02F4,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAA,2608
114,FF0600,00,008DE2,0318,02F4,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAA,2600
115,FF0609,80,00519A,048B,0303,18,80,01,00,00,00,5D,8E,00000418,0000000E,0000007A,00FF000F,00005B09,00000302,00000000,00FFFDAE,2600
115,FF0600,18,004950,0406,030B,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB2,2604
115,FF0609,18,008DE2,0318,0311,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAA,2608
115,FF0600,00,008DE2,0318,0311,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAA,2600
116,FF0609,80,00519A,048B,031E,18,80,01,00,00,00,5D,8E,00000418,0000000E,0000007A,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
116,FF0600,18,004950,0406,0326,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
116,FF0609,18,008DE2,0318,032C,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
116,FF0600,00,008DE2,0318,032C,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
117,FF0609,80,00519A,048B,0339,18,80,01,00,00,00,5D,8E,00000418,0000000E,00000079,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
117,FF0600,18,004950,0406,0341,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
117,FF0609,18,008DE2,0318,0347,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
117,FF0600,00,008DE2,0318,0347,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
118,FF0609,80,00519A,048B,0354,18,80,01,00,00,00,5D,8E,00000418,0000000E,00000079,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
118,FF0600,18,004950,0406,035C,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
118,FF0609,18,008DE2,0318,0362,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
118,FF0600,00,008DE2,0318,0362,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
119,FF0609,80,00519A,048B,036F,18,80,01,00,00,00,5D,8E,00000418,0000000E,00000078,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
119,FF0600,18,004950,0406,0377,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
119,FF0609,18,008DE2,0318,037D,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
119,FF0600,00,008DE2,0318,037D,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
120,FF0609,80,00519A,048B,038A,18,80,01,00,00,00,5D,8E,00000418,0000000E,00000078,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
120,FF0600,18,004950,0406,0392,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
120,FF0609,18,008DE2,0318,0398,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
120,FF0600,00,008DE2,0318,0398,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
121,FF0609,80,00519A,048B,03A5,18,80,01,00,00,00,5D,8E,00000418,0000000E,00000077,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
121,FF0600,18,004950,0406,03AD,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
121,FF0609,18,008DE2,0318,03B3,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
121,FF0600,00,008DE2,0318,03B3,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
122,FF0609,80,00519A,048B,03C0,18,80,01,00,00,00,5D,8E,00000418,0000000E,00000077,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
122,FF0600,18,004950,0406,03C8,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
122,FF0609,18,008DE2,0318,03CE,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
122,FF0600,00,008DE2,0318,03CE,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
123,FF0609,80,00519A,048B,03DB,18,80,01,00,00,00,5D,8E,00000418,0000000E,00000076,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
123,FF0600,18,004950,0406,03E3,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
123,FF0609,18,008DE2,0318,03E9,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
123,FF0600,00,008DE2,0318,03E9,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
124,FF0609,80,00519A,048B,03F6,18,80,01,00,00,00,5D,8E,00000418,0000000E,00000076,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
124,FF0600,18,004950,0406,03FE,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
124,FF0609,18,008DE2,0318,0404,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
124,FF0600,00,008DE2,0318,0404,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
125,FF0609,80,00519A,048B,0411,18,80,01,00,00,00,5D,8E,00000418,0000000E,00000075,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
125,FF0600,18,004950,0406,0419,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
125,FF0609,18,008DE2,0318,041F,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
125,FF0600,00,008DE2,0318,041F,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
126,FF0609,80,00519A,048B,042C,18,80,01,00,00,00,5D,8E,00000418,0000000E,00000075,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
126,FF0600,18,004950,0406,0434,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
126,FF0609,18,008DE2,0318,043A,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
126,FF0600,00,008DE2,0318,043A,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
127,FF0609,80,00519A,048B,0447,18,80,01,00,00,00,5D,8E,00000418,0000000E,00000074,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
127,FF0600,18,004950,0406,044F,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
127,FF0609,18,008DE2,0318,0455,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
127,FF0600,00,008DE2,0318,0455,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
128,FF0609,80,00519A,048B,0462,18,80,01,00,00,00,5D,8E,00000418,0000000E,00000074,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
128,FF0600,18,004950,0406,046A,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
128,FF0609,18,008DE2,0318,0470,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
128,FF0600,00,008DE2,0318,0470,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
129,FF0609,80,00519A,048B,047D,18,80,01,00,00,00,5D,8E,00000418,0000000E,00000073,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
129,FF0600,18,004950,0406,0485,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
129,FF0609,18,008DE2,0318,048B,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
129,FF0600,00,008DE2,0318,048B,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
130,FF0609,80,00519A,048B,0498,18,80,01,00,00,00,5D,8E,00000418,0000000E,00000073,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
130,FF0600,18,004950,0406,04A0,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
130,FF0609,18,008DE2,0318,04A6,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
130,FF0600,00,008DE2,0318,04A6,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
131,FF0609,80,00519A,048B,04B3,18,80,01,00,00,00,5D,8E,00000418,0000000E,00000072,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
131,FF0600,18,004950,0406,04BB,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
131,FF0609,18,008DE2,0318,04C1,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
131,FF0600,00,008DE2,0318,04C1,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
132,FF0609,80,00519A,048B,04CE,18,80,01,00,00,00,5D,8E,00000418,0000000E,00000072,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
132,FF0600,18,004950,0406,04D6,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
132,FF0609,18,008DE2,0318,04DC,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
132,FF0600,00,008DE2,0318,04DC,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
133,FF0609,80,00519A,048B,04E9,18,80,01,00,00,00,5D,8E,00000418,0000000E,00000071,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
133,FF0600,18,004950,0406,04F1,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
133,FF0609,18,008DE2,0318,04F7,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
133,FF0600,00,008DE2,0318,04F7,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
134,FF0609,80,00519A,048B,0504,18,80,01,00,00,00,5D,8E,00000418,0000000E,00000071,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
134,FF0600,18,004950,0406,050C,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
134,FF0609,18,008DE2,0318,0512,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
134,FF0600,00,008DE2,0318,0512,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
135,FF0609,80,00519A,048B,051F,18,80,01,00,00,00,5D,8E,00000418,0000000E,00000070,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
135,FF0600,18,004950,0406,0527,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
135,FF0609,18,008DE2,0318,052D,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
135,FF0600,00,008DE2,0318,052D,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
136,FF0609,80,00519A,048B,053A,18,80,01,00,00,00,5D,8E,00000418,0000000E,00000070,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
136,FF0600,18,004950,0406,0542,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
136,FF0609,18,008DE2,0318,0548,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
136,FF0600,00,008DE2,0318,0548,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
137,FF0609,80,00519A,048B,0555,18,80,01,00,00,00,5D,8E,00000418,0000000E,0000006F,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
137,FF0600,18,004950,0406,055D,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
137,FF0609,18,008DE2,0318,0563,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
137,FF0600,00,008DE2,0318,0563,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
138,FF0609,80,00519A,048B,0570,18,80,01,00,00,00,5D,8E,00000418,0000000E,0000006F,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
138,FF0600,18,004950,0406,0578,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
138,FF0609,18,008DE2,0318,057E,00,18,01,00,00,00,5D,8E,00000080,00000491,0000040A,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2608
138,FF0600,00,008DE2,0318,057E,00,80,01,00,00,00,5D,8E,00000018,00000491,00000401,00FF000F,000087DC,00FF01FF,00000000,00FFFDAE,2600
139,FF0609,80,00519A,048B,058B,18,80,01,00,00,00,5D,8E,00000418,0000000E,0000006E,00FF000F,00005B09,00000302,00000000,00FFFDB2,2600
139,FF0600,18,004950,0406,0593,18,18,01,00,00,00,5D,8E,00000400,00000491,00000466,00FF000F,00005620,FFFFFFFFFFFF8E5D,00000000,00FFFDB6,2604
